id,koolinimi,vald,maakond,opilasi
74,Tallinna Mustamäe Reaalgümnaasium,Tallinn linn,Harju maakond,632
75,Tallinna Laagna Gümnaasium,Tallinn linn,Harju maakond,628
76,Tallinna Nõmme Gümnaasium,Tallinn linn,Harju maakond,624
77,Laagri Kool,Saue vald,Harju maakond,616
78,Tallinna Kuristiku Gümnaasium,Tallinn linn,Harju maakond,616
79,Tallinna Mustjõe Gümnaasium,Tallinn linn,Harju maakond,604
80,Tallinna Järveotsa Gümnaasium,Tallinn linn,Harju maakond,600
81,Tallinna Mustamäe Gümnaasium,Tallinn linn,Harju maakond,589
82,Tartu Kunstigümnaasium,Tartu linn,Tartu maakond,589
83,Rapla Vesiroosi Gümnaasium,Rapla vald,Rapla maakond,581
84,Märjamaa Gümnaasium,Märjamaa vald,Rapla maakond,570
85,Türi Põhikool,Türi vald,Järva maakond,569
86,Tapa Gümnaasium,Tapa vald,Lääne-Viru maakond,563
87,Paide Gümnaasium,Paide linn,Järva maakond,562
88,Haapsalu Gümnaasium,Haapsalu linn,Lääne maakond,559
89,Jõgeva Gümnaasium,Jõgeva linn,Jõgeva maakond,559
90,Kadrina Keskkool,Kadrina vald,Lääne-Viru maakond,556
